序號,Table分類,是否是Flowable原生 Table,Table名稱,Table定義說明,有被View引用
65,Identity,Y,ACT_ID_MEMBERSHIP,紀錄了哪個使用者屬於哪個部門或群組的對應關係。,
66,Identity,Y,ACT_ID_PRIV,系統中有哪些「權限」的定義清單。,
67,Identity,Y,ACT_ID_PRIV_MAPPING,紀錄了使用者或群組擁有 T_PRIV 中定義的哪些「權限」。,
68,Identity,Y,ACT_ID_PROPERTY,身份認證模組的設定檔。,
69,Identity,Y,ACT_ID_TOKEN,記住使用者登入狀態的 Token 資訊。,
70,Identity,Y,ACT_ID_USER,使用者帳號的基本資料表 (姓名、Email等)。,
71,System & Admin,Y,ACT_ADM_DATABASECHANGELOG,系統在自動更新「Admin管理介面」時留下的技術日誌。,
72,System & Admin,Y,ACT_ADM_DATABASECHANGELOGLOCK,更新「Admin管理介面」資料庫時的鎖定紀錄，防止衝突。,
73,System & Admin,Y,ACT_ADM_SERVER_CONFIG,Flowable Admin 管理介面的伺服器設定。,
74,System & Admin,Y,ACT_APP_DATABASECHANGELOG,系統在自動更新「應用程式」功能時留下的技術日誌。,
75,System & Admin,Y,ACT_APP_DATABASECHANGELOGLOCK,更新「應用程式」資料庫時的鎖定紀錄，防止衝突。,
76,System & Admin,Y,ACT_CMMN_DATABASECHANGELOG,系統在自動更新「案件管理」功能時留下的技術日誌。,
77,System & Admin,Y,ACT_CMMN_DATABASECHANGELOGLOCK,更新「案件管理」資料庫時的鎖定紀錄，防止衝突。,
78,System & Admin,Y,ACT_CO_DATABASECHANGELOG,系統在自動更新「檔案內容」功能時留下的技術日誌。,
79,System & Admin,Y,ACT_CO_DATABASECHANGELOGLOCK,更新「檔案內容」資料庫時的鎖定紀錄，防止衝突。,
80,System & Admin,Y,ACT_DE_DATABASECHANGELOG,系統在自動更新「決策表」功能時留下的技術日誌。,
81,System & Admin,Y,ACT_DE_DATABASECHANGELOGLOCK,更新「決策表」資料庫時的鎖定紀錄，防止衝突。,
82,System & Admin,Y,ACT_DMN_DATABASECHANGELOG,系統在自動更新「決策表」功能時留下的技術日誌。,
83,System & Admin,Y,ACT_DMN_DATABASECHANGELOGLOCK,更新「決策表」資料庫時的鎖定紀錄，防止衝突。,
84,System & Admin,Y,ACT_FO_DATABASECHANGELOG,系統在自動更新「電子表單」功能時留下的技術日誌。,
85,System & Admin,Y,ACT_FO_DATABASECHANGELOGLOCK,更新「電子表單」資料庫時的鎖定紀錄，防止衝突。,
86,System & Admin,Y,FLW_EV_DATABASECHANGELOG,系統在自動更新「外部事件」功能時留下的技術日誌。,
87,System & Admin,Y,FLW_EV_DATABASECHANGELOGLOCK,更新「外部事件」資料庫時的鎖定紀錄，防止衝突。,
88,Custom,N,DMP_WEB_REQUEST_LOG_NOW,(非原生) DMP 系統的網站即時操作日誌。,
89,Custom,N,DMP_WEB_REQUEST_LOG_OLD,(非原生) DMP 系統的網站歷史操作日誌。,
90,Custom,N,TLG_WEB_REQUEST_LOG_NOW,(非原生) TLG 系統的網站即時操作日誌。,
91,Custom,N,TLG_WEB_REQUEST_LOG_OLD,(非原生) TLG 系統的網站歷史操作日誌。,
92,Custom,N,USER_INFO,(非原生) 擴充的使用者資訊，例如員工編號、職稱、分機等。,
